,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,latitude,longitude
279,30072,N,Washington (O'Hare-bound),Washington,Washington (Blue Line),40370,False,False,True,False,False,False,False,False,False,False,"(41.883164, -87.62944)",22.0,14310,38.0,92.0,36.0,41.883164,-87.62944
280,30383,N,Washington/Wabash (Outer Loop),Washington/Wabash,"Washington/Wabash (Brown, Green, Orange, Purple & Pink Lines)",41700,True,False,False,True,True,False,False,False,False,False,"(41.88322, -87.626189)",22.0,14310,38.0,580.0,36.0,41.88322,-87.626189
281,30384,S,Washington/Wabash (Inner Loop),Washington/Wabash,"Washington/Wabash (Brown, Green, Orange, Purple & Pink Lines)",41700,True,False,False,True,False,False,True,False,True,True,"(41.88322, -87.626189)",22.0,14310,38.0,580.0,36.0,41.88322,-87.626189
282,30141,N,Washington/Wells (Inner Loop),Washington/Wells,"Washington/Wells (Brown, Orange, Purple & Pink Lines)",40730,True,False,False,False,False,False,True,False,True,True,"(41.882695, -87.63378)",22.0,14310,38.0,92.0,36.0,41.882695,-87.63378
283,30142,S,Washington/Wells (Outer Loop),Washington/Wells,"Washington/Wells (Brown, Orange, Purple & Pink Lines)",40730,True,False,False,False,True,False,False,False,False,False,"(41.882695, -87.63378)",22.0,14310,38.0,92.0,36.0,41.882695,-87.63378
284,30231,N,Wellington (Kimball-Linden-bound),Wellington,Wellington (Brown & Purple Lines),41210,True,False,False,False,True,False,True,False,False,False,"(41.936033, -87.653266)",38.0,4449,57.0,681.0,25.0,41.936033,-87.653266
285,30232,S,Wellington (Loop-bound),Wellington,Wellington (Brown & Purple Lines),41210,True,False,False,False,True,False,True,False,False,False,"(41.936033, -87.653266)",38.0,4449,57.0,681.0,25.0,41.936033,-87.653266
286,30060,N,Western (Loop-bound),Western,Western (Orange Line),40310,True,False,False,False,False,False,False,False,False,True,"(41.804546, -87.684019)",19.0,14924,61.0,775.0,3.0,41.804546,-87.684019
287,30061,S,Western (Midway-bound),Western,Western (Orange Line),40310,True,False,False,False,False,False,False,False,False,True,"(41.804546, -87.684019)",19.0,14924,61.0,775.0,3.0,41.804546,-87.684019
288,30144,W,Western (54th/Cermak-bound),Western,Western (Pink Line),40740,True,False,False,False,False,False,False,False,True,False,"(41.854225, -87.685129)",8.0,14920,33.0,4.0,26.0,41.854225,-87.685129
289,30143,E,Western (Loop-bound),Western,Western (Pink Line),40740,True,False,False,False,False,False,False,False,True,False,"(41.854225, -87.685129)",8.0,14920,33.0,4.0,26.0,41.854225,-87.685129
290,30283,N,Western (Kimball-bound),Western,Western (Brown Line),41480,True,False,False,False,True,False,False,False,False,False,"(41.966163, -87.688502)",13.0,21849,6.0,665.0,18.0,41.966163,-87.688502
291,30284,S,Western (Loop-bound),Western,Western (Brown Line),41480,True,False,False,False,True,False,False,False,False,False,"(41.966163, -87.688502)",13.0,21849,6.0,665.0,18.0,41.966163,-87.688502
292,30130,S,Western (O'Hare Branch) (Forest Pk-bound),Western,Western (Blue Line - O'Hare Branch),40670,True,False,True,False,False,False,False,False,False,False,"(41.916157, -87.687364)",24.0,22535,23.0,373.0,40.0,41.916157,-87.687364
293,30042,E,Western (Forest Pk Branch) (O'Hare-bound),Western,Western (Blue Line - Forest Park Branch),40220,False,False,True,False,False,False,False,False,False,False,"(41.875478, -87.688436)",48.0,21184,29.0,756.0,23.0,41.875478,-87.688436
294,30043,W,Western (Forest Pk Branch) (Forest Pk-bound),Western,Western (Blue Line - Forest Park Branch),40220,False,False,True,False,False,False,False,False,False,False,"(41.875478, -87.688436)",48.0,21184,29.0,756.0,23.0,41.875478,-87.688436
295,30129,N,Western (O'Hare Branch) (O'Hare-bound),Western,Western (Blue Line - O'Hare Branch),40670,True,False,True,False,False,False,False,False,False,False,"(41.916157, -87.687364)",24.0,22535,23.0,373.0,40.0,41.916157,-87.687364
296,30385,S,Wilson (Loop-bound),Wilson,Wilson (Red & Purple Lines),40540,True,False,False,False,False,False,True,False,False,False,"(41.964273, -87.657588)",37.0,22616,31.0,241.0,39.0,41.964273,-87.657588
297,30106,S,Wilson (95th-bound),Wilson,Wilson (Red & Purple Lines),40540,True,True,False,False,False,False,False,False,False,False,"(41.964273, -87.657588)",37.0,22616,31.0,241.0,39.0,41.964273,-87.657588
298,30105,N,Wilson (Howard-bound),Wilson,Wilson (Red & Purple Lines),40540,True,True,False,False,False,False,False,False,False,False,"(41.964273, -87.657588)",37.0,22616,31.0,241.0,39.0,41.964273,-87.657588
299,30386,N,Wilson (Linden-bound),Wilson,Wilson (Red & Purple Lines),40540,True,False,False,False,False,False,True,False,False,False,"(41.964273, -87.657588)",37.0,22616,31.0,241.0,39.0,41.964273,-87.657588
