,id,name,city,latitude,longitude,dpcapacity,online_date,date
354,158,Milwaukee Ave & Wabansia Ave,Chicago ,41.912616,-87.681391,15,7/19/2013 09:40:25,2013-07-19 09:40:25
355,237,MLK Jr Dr & 29th St,Chicago,41.842052,-87.617,15,8/20/2013 16:56:22,2013-08-20 16:56:22
356,200,MLK Jr Dr & 47th St,Chicago,41.809851,-87.616279,11,8/10/2013 15:31:56,2013-08-10 15:31:56
360,179,MLK Jr Dr & Oakwood Blvd,Chicago,41.822559999999996,-87.61615,15,7/19/2013 11:12:55,2013-07-19 11:12:55
362,249,Montrose Harbor,Chicago,41.963982,-87.638181,31,8/22/2013 17:09:47,2013-08-22 17:09:47
363,137,Morgan Ave & 14th Pl,Chicago ,41.862378,-87.651062,15,7/18/2013 22:54:11,2013-07-18 22:54:11
364,14,Morgan St & 18th St,Chicago,41.858086,-87.651073,15,6/22/2013 18:33:34,2013-06-22 18:33:34
365,280,Morgan St & 31st St,Chicago,41.8378,-87.65114,11,9/11/2013 11:50:00,2013-09-11 11:50:00
366,71,Morgan St & Lake St,Chicago,41.8854833079,-87.6523048564,23,6/25/2013 12:55:12,2013-06-25 12:55:12
368,241,Morgan St & Polk St,Chicago ,41.871736999999996,-87.65103,15,8/21/2013 11:57:13,2013-08-21 11:57:13
370,29,Noble St & Milwaukee Ave,Chicago,41.90068,-87.6626,15,6/22/2013 20:52:28,2013-06-22 20:52:28
372,209,Normal Ave & Archer Ave,Chicago,41.849527,-87.640591,11,8/14/2013 13:18:54,2013-08-14 13:18:54
376,54,Ogden Ave & Chicago Ave,Chicago,41.896362458,-87.65406127290001,19,6/25/2013 11:28:47,2013-06-25 11:28:47
377,122,Ogden Ave & Congress Pkwy,Chicago,41.875009999999996,-87.67328,15,7/18/2013 17:23:07,2013-07-18 17:23:07
378,186,Ogden Ave & Race Ave,Chicago,41.891795,-87.658751,15,7/27/2013 13:03:31,2013-07-27 13:03:31
381,23,Orleans St & Elm St (*),Chicago,41.902924,-87.637715,16,6/22/2013 20:20:34,2013-06-22 20:20:34
